case,subcase_id,subcase,method,GP_method,RMISE,coverage,CI_width,rmw2,rmw2_emp,n_expected,n_read,fit_fail,pred_fail,CI_fail,OOM,Timeout,unknown_missing,mean_time_total,mean_time_fit,max_time_fit,oracle_RMISE,rel_RMISE,rel_rmw2_emp_bound
2re,3,"d=200, n_i=5",PACE-BIC-default,FPC,2.121937136514982,0.81815,2.0465241259194746,0.6776981524855985,0.34488843352305304,2,2,0,0,0,0,0,0,0.35850000000000004,0.04202500000000001,0.0421,0.40478729914805117,5.242104040766561,1.964977907675468
2re,3,"d=200, n_i=5",PACE-FVE95-GCV,FPC,2.298867058480408,0.714125,1.6300076431810626,0.722260621445428,0.34488843352305304,2,2,0,0,0,0,0,0,0.5889166666666668,0.2616583333333333,0.3210666666666667,0.40478729914805117,5.679197601601616,2.0941862679113323
2re,3,"d=200, n_i=5",PACE-FVE95-default,FPC,2.2417858295434936,0.708725,1.5679119659243745,0.7156241667601979,0.34488843352305304,2,2,0,0,0,0,0,0,0.4105416666666667,0.055458333333333346,0.0580666666666667,0.40478729914805117,5.538182236107065,2.074943944770952
2re,3,"d=200, n_i=5",PACE-FVE99-GCV,FPC,1.9039772095113943,0.9675,2.97761687867921,0.6394178261553594,0.34488843352305304,2,2,0,0,0,0,0,0,0.69365,0.26845833333333335,0.33863333333333334,0.40478729914805117,4.703648591540945,1.8539845468973066
2re,3,"d=200, n_i=5",PACE-FVE99-default,FPC,1.867032482414646,0.965275,2.910728515817548,0.6603736193876476,0.34488843352305304,2,2,0,0,0,0,0,0,0.5400166666666666,0.053266666666666664,0.05328333333333332,0.40478729914805117,4.612379109582136,1.9147456255401123
2re,3,"d=200, n_i=5",PACE-Oracle-GCV,FPC,1.9039772095113943,0.9675,2.97761687867921,0.6394178261553594,0.34488843352305304,2,2,0,0,0,0,0,0,0.6223166666666666,0.2416583333333333,0.30189999999999995,0.40478729914805117,4.703648591540945,1.8539845468973066
2re,3,"d=200, n_i=5",PACE-Oracle-default,FPC,1.867032482414646,0.965275,2.910728515817548,0.6603736193876476,0.34488843352305304,2,2,0,0,0,0,0,0,0.4559083333333333,0.04980000000000002,0.04981666666666668,0.40478729914805117,4.612379109582136,1.9147456255401123
2re,3,"d=200, n_i=5",bayesFPCA-Oracle,FPC,1.3271758920016343,0.853425,1.3493647433051308,0.42921862635166386,0.34488843352305304,2,2,0,0,0,0,0,0,0.6447083333333333,0.5412666666666668,0.6951166666666667,0.40478729914805117,3.2786994423859603,1.2445144128701957
2re,3,"d=200, n_i=5",bayesFPCA-PVE95-L15,FPC,2.448823936528927,0.9071499999999999,3.9772371346594766,0.8208374706868462,0.34488843352305304,2,2,0,0,0,0,0,0,61.608333333333334,61.52050833333334,90.1285,0.40478729914805117,6.049656058090074,2.3800086952813966
2re,3,"d=200, n_i=5",bayesFPCA-PVE99-L15,FPC,2.448823936528927,0.9071499999999999,3.9772371346594766,0.8208374706868462,0.34488843352305304,2,2,0,0,0,0,0,0,62.316975,62.23202500000001,90.48763333333335,0.40478729914805117,6.049656058090074,2.3800086952813966
