case,subcase_id,n_clusters,n_obs_per_cluster,method,n_expected,n_read,n_missing,n_oom,n_timeout,n_unknown_missing,n_sim_fail,n_fit_fail,n_pred_fail,n_gp_fail,n_k_fail,n_ci_fail,prop_oom,prop_timeout,prop_unknown_missing,prop_sim_fail,prop_fit_fail,prop_pred_fail,prop_gp_fail,prop_k_fail,prop_ci_fail,mean_time_total,mean_time_fit,max_time_total,max_time_fit
3re,8,100,10,FACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11695066666666647,0.036656000000000556,0.1335999999999937,0.0464000000000245
3re,8,100,10,HGAM-GS,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3038088333333341,0.2245821666666658,0.8446666666666668,0.7192833333333335
3re,8,100,10,Local-GAM,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0536836666666674,0.022007833333334323,0.05983333333333576,0.02718333333332339
3re,8,100,10,Oracle-GP,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026216000000000045,1.2166666666625286e-5,0.029833333333332726,1.6666666670062114e-5
3re,8,100,10,PACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7130476666666672,0.5371043333333325,1.1103833333333417,0.8360666666666475
3re,8,100,10,bayesFPCA,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.414850666666667,2.3657533333333323,33.90946666666669,33.87513333333333
3re,9,200,2,AdaStruMM,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8368485000000006,0.05181683333333318,3.756833333333331,0.10645000000000285
3re,9,200,2,FACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21428850000000035,0.0739224999999985,0.3004166666666667,0.10935
3re,9,200,2,HGAM-GS,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3778844999999977,1.1875284999999993,2.5790333333333364,2.360466666666669
3re,9,200,2,Oracle-GP,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04078483333333376,1.3166666667075333e-5,0.05493333333332278,1.6666666670062114e-5
3re,9,200,2,PACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38767316666666674,0.030859333333333457,0.5743666666666665,0.048166666666668335
3re,9,200,2,bayesFPCA,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5153633333333336,2.4396433333333336,12.787466666666676,12.621766666666675
3re,10,200,3,AdaStruMM,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8307441666666666,0.05177333333333411,2.2542833333333268,0.11488333333333382
3re,10,200,3,FACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2767088333333326,0.10093700000000005,0.3303833333333311,0.13269999999999982
3re,10,200,3,HGAM-GS,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.380971166666667,1.1986788333333322,2.369849999999997,2.1438500000000054
3re,10,200,3,Local-GAM,100,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.2605631666666665,0.19738083333333334,0.2791999999999992,0.21088333333333367
3re,10,200,3,Oracle-GP,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04048400000000001,1.3666666666708238e-5,0.04381666666666698,1.6666666667219943e-5
3re,10,200,3,PACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5334756666666661,0.07731716666666573,0.8920666666666572,0.1742499999999988
3re,10,200,3,bayesFPCA,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.863284,1.7798705000000001,12.125099999999998,12.03923333333333
3re,11,200,5,AdaStruMM,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.837458833333333,0.07536400000000082,2.5365666666666584,0.13186666666666652
3re,11,200,5,FACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2327533333333328,0.0814586666666675,0.3117499999999988,0.11546666666667989
3re,11,200,5,HGAM-GS,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5266328333333319,1.3377214999999998,2.1786833333333333,1.9959000000000022
3re,11,200,5,Local-GAM,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1383279999999995,0.06035300000000022,0.1879833333333257,0.0791499999999966
3re,11,200,5,Oracle-GP,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041299166666666526,1.4000000000275274e-5,0.06861666666666982,3.333333334012423e-5
3re,11,200,5,PACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6537925000000007,0.23930950000000029,0.7771166666666659,0.3321333333333314
3re,11,200,5,bayesFPCA,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8897818333333336,2.8028171666666655,48.00113333333333,47.92348333333334
3re,12,200,10,AdaStruMM,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.904670833333334,0.13895266666666656,2.0340499999999944,0.18088333333333442
3re,12,200,10,FACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21096383333333293,0.07313183333333306,0.23701666666665916,0.08501666666666097
3re,12,200,10,HGAM-GS,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.850779333333333,1.6707066666666661,3.7507166666666687,3.35173333333333
3re,12,200,10,Local-GAM,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10184766666666656,0.0461123333333353,0.1260166666666616,0.05378333333334619
3re,12,200,10,Oracle-GP,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04054516666666666,1.5333333333502026e-5,0.055,2.8333333333335395e-4
3re,12,200,10,PACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3562418333333333,1.8509516666666663,4.129516666666677,3.276866666666653
3re,12,200,10,bayesFPCA,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5826124999999998,3.5013740000000007,36.85036666666665,36.76840000000002
3re,13,300,2,AdaStruMM,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4111968333333325,0.07344049999999964,2.5238666666666782,0.12566666666666607
3re,13,300,2,FACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30018249999999974,0.10922199999999999,0.33174999999999577,0.1241833333333337
3re,13,300,2,HGAM-GS,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5196965000000002,3.103260833333333,9.303816666666686,8.708849999999984
3re,13,300,2,Oracle-GP,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051770166666666534,1.333333333286646e-5,0.06398333333333237,1.6666666670062114e-5
3re,13,300,2,PACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.849166666666666,0.0659845000000005,1.1921500000000076,0.10543333333334885
3re,13,300,2,bayesFPCA,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1153193333333333,3.0302495,17.66156666666667,17.575550000000003
3re,14,300,3,AdaStruMM,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.610015166666668,0.08046133333333447,2.8404999999999974,0.1672833333333377
3re,14,300,3,FACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2990190000000004,0.10834683333333339,0.33408333333333334,0.12233333333333339
3re,14,300,3,HGAM-GS,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.143597833333333,6.410701333333334,12.878233333333325,11.998083333333337
3re,14,300,3,Local-GAM,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34890883333333333,0.2797873333333334,0.44504999999999956,0.35351666666666687
3re,14,300,3,Oracle-GP,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05136583333333344,1.3166666666696378e-5,0.058283333333330724,1.6666666670062114e-5
3re,14,300,3,PACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.105780166666665,0.20315650000000027,2.0600833333333335,0.2619499999999941
3re,14,300,3,bayesFPCA,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7169743333333334,2.6124195,32.944250000000004,32.81916666666666
3re,15,300,5,AdaStruMM,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.518297666666667,0.10976100000000062,2.645866666666667,0.24473333333333283
3re,15,300,5,FACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.373497166666667,0.14449900000000004,0.4557666666666667,0.18904999999999744
3re,15,300,5,HGAM-GS,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.798568333333334,7.0847438333333335,11.718666666666666,10.691833333333337
3re,15,300,5,Local-GAM,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19624733333333308,0.0995031666666664,0.2595333333333353,0.13081666666666933
3re,15,300,5,Oracle-GP,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050690500000000305,1.3666666667480361e-5,0.06700000000000728,1.6666666670062114e-5
3re,15,300,5,PACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7851896666666671,0.673170166666667,3.378633333333346,1.5703000000000127
3re,15,300,5,bayesFPCA,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2452491666666665,4.127602666666667,88.65906666666666,88.48958333333334
3re,16,300,10,AdaStruMM,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6405181666666664,0.20865333333333308,2.782483333333342,0.3324166666666618
3re,16,300,10,FACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29928766666666734,0.11256133333333279,0.3285000000000006,0.1285166666666555
3re,16,300,10,HGAM-GS,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.789132666666667,9.109310333333335,16.86096666666666,15.920566666666657
3re,16,300,10,Local-GAM,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16520116666666734,0.07854966666666606,0.20833333333333334,0.0945500000000114
3re,16,300,10,Oracle-GP,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05001533333333358,1.2333333333610123e-5,0.06283333333333303,1.6666666670062114e-5
3re,16,300,10,PACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.415300333333333,4.233259666666666,6.536816666666664,5.080366666666668
3re,16,300,10,bayesFPCA,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9554435,6.827881,93.03086666666668,92.9362
3re,17,400,2,AdaStruMM,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.320513666666667,0.1058088333333336,3.4429166666666635,0.19086666666667043
3re,17,400,2,FACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3986800000000001,0.15095316666666672,0.4325000000000008,0.16944999999999955
3re,17,400,2,HGAM-GS,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.869664166666666,10.572466166666667,24.952983333333336,22.9762
3re,17,400,2,Oracle-GP,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06098933333333344,1.2499999999666519e-5,0.07925000000000182,1.6666666670062114e-5
