case,subcase_id,method,n_trials,n_read,n_complete,n_oom,n_timeout,n_resource_fail,n_unknown_missing,n_sim_fail,n_fit_fail,n_pred_fail,n_gp_fail,n_k_fail,n_ci_fail,n_nonresource_incomplete,n_successful_fits,prop_complete,prop_resource_fail,mean_fit_time,median_fit_time,sd_fit_time,max_fit_time,max_to_median_fit_time,mean_total_time_observed,max_total_time_observed,mean_total_time_complete,max_total_time_complete,fit_cutoff_minutes,fit_time_exempt,decision_stage,decision,decision_reason
2re,5,HGAM-GS,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.09730666666666668,0.1073333333333333,0.02655438235437273,0.12819999999999998,1.194409937888199,0.1789133333333333,0.2045833333333333,0.1789133333333333,0.2045833333333333,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
2re,5,Oracle-GP,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,3.6666666666670034e-5,3.333333333334447e-5,1.3944333775570812e-5,5.000000000000189e-5,1.4999999999995557,0.07095333333333334,0.07341666666666667,0.07095333333333334,0.07341666666666667,30,TRUE,initial,include,All runs completed; method exempt from the fitting-time cutoff
2re,5,PACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.01300333333333332,0.01248333333333331,0.00160387551470389,0.01581666666666666,1.2670226969292406,0.15125333333333332,0.1668333333333333,0.15125333333333332,0.1668333333333333,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
2re,5,bayesFPCA,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1.12565,0.944,0.8891916802167386,2.6387,2.7952330508474574,1.2042966666666666,2.7396499999999997,1.2042966666666666,2.7396499999999997,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
2re,6,AdaStruMM,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.01599666666666667,0.01328333333333331,0.00669837666901466,0.02793333333333333,2.102885821831873,0.84946,0.8982166666666667,0.84946,0.8982166666666667,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
2re,6,FACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.03215,0.02891666666666665,0.0081400928195636,0.04668333333333332,1.6144092219020174,0.11583333333333332,0.13981666666666664,0.11583333333333332,0.13981666666666664,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
2re,6,HGAM-GS,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.08376,0.07626666666666668,0.01317077256655812,0.10145,1.330201048951049,0.15017333333333335,0.16423333333333334,0.15017333333333335,0.16423333333333334,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
2re,6,Local-GAM,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.09811666666666666,0.0931,0.01124018090008637,0.1133,1.2169709989258863,0.15126333333333333,0.16958333333333334,0.15126333333333333,0.16958333333333334,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
2re,6,Oracle-GP,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,2.9999999999992252e-5,3.3333333333314856e-5,1.3944333775567276e-5,5.000000000000189e-5,1.5000000000008882,0.05904333333333334,0.06353333333333336,0.05904333333333334,0.06353333333333336,30,TRUE,initial,include,All runs completed; method exempt from the fitting-time cutoff
2re,6,PACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.03124666666666667,0.03141666666666666,5.156441494760524e-4,0.03178333333333334,1.0116710875331567,0.15998,0.1680833333333333,0.15998,0.1680833333333333,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
