case,subcase_id,method,n_trials,n_read,n_complete,n_oom,n_timeout,n_resource_fail,n_unknown_missing,n_sim_fail,n_fit_fail,n_pred_fail,n_gp_fail,n_k_fail,n_ci_fail,n_nonresource_incomplete,n_successful_fits,prop_complete,prop_resource_fail,mean_fit_time,median_fit_time,sd_fit_time,max_fit_time,max_to_median_fit_time,mean_total_time_observed,max_total_time_observed,mean_total_time_complete,max_total_time_complete,decision,n_full_seeds,projected_total_hours,projected_total_hours_buffered,suggested_walltime_minutes
sitar,7,HGAM-GS,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.08028333333333332,0.07696666666666659,0.01250535440876784,0.0957166666666667,1.2436119532265066,0.44654333333333335,0.5759333333333333,0.44654333333333335,0.5759333333333333,include,100,0.7442388888888889,0.9302986111111111,0.7199166666666666
sitar,7,Local-GAM,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.04857666666666667,0.04341666666666667,0.011253891919390923,0.06863333333333325,1.580806142034547,0.41381333333333337,0.5357166666666667,0.41381333333333337,0.5357166666666667,include,100,0.6896888888888889,0.8621111111111112,0.6696458333333334
sitar,7,Oracle-SITAR,5,5,5,0,0,0,0,0,0,0,0,5,0,0,5,1,0,7.13671,5.89945,3.0653263858437647,10.4622,1.7734195560603105,10.780116666666666,14.533766666666667,10.780116666666666,14.533766666666667,include,100,17.966861111111108,22.458576388888886,18.167208333333335
sitar,7,PACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.05800000000000002,0.05735000000000004,0.0019381047443314306,0.06140000000000002,1.0706190061028766,0.49586,0.5556666666666668,0.49586,0.5556666666666668,include,100,0.8264333333333335,1.0330416666666669,0.6945833333333334
sitar,8,AdaStruMM,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.27191,0.24530000000000005,0.05433940226841743,0.33085,1.3487566245413776,1.47226,1.5551833333333331,1.47226,1.5551833333333331,include,100,2.4537666666666667,3.0672083333333333,1.9439791666666664
sitar,8,FACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.053156666666666685,0.05001666666666669,0.011495642894399432,0.06548333333333337,1.3092302565811398,0.52826,0.6369833333333333,0.52826,0.6369833333333333,include,100,0.8804333333333332,1.1005416666666665,0.7962291666666667
sitar,8,HGAM-GS,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.14570333333333332,0.15765000000000004,0.037084579379814714,0.1776666666666666,1.1269690242097468,0.6089633333333333,0.6588166666666666,0.6089633333333333,0.6588166666666666,include,100,1.0149388888888888,1.268673611111111,0.8235208333333333
sitar,8,Local-GAM,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.034546666666666656,0.03483333333333327,0.0017228206845493494,0.036549999999999964,1.0492822966507185,0.49991,0.5163333333333333,0.49991,0.5163333333333333,include,100,0.8331833333333333,1.0414791666666665,0.6454166666666666
sitar,8,Oracle-SITAR,5,5,5,0,0,0,0,0,0,0,0,5,0,0,5,1,0,4.389093333333333,4.3935,0.032582571602349,4.425383333333333,1.0072569325898104,7.504546666666666,7.567566666666666,7.504546666666666,7.567566666666666,include,100,12.507577777777778,15.634472222222222,9.459458333333332
sitar,8,PACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.38167666666666666,0.3823166666666667,0.006042541315999044,0.3881666666666667,1.0153014516761847,0.8427133333333333,0.8654666666666667,0.8427133333333333,0.8654666666666667,include,100,1.4045222222222222,1.7556527777777777,1.0818333333333334
