case,subcase_id,method,metric,estimate,lower,upper,n_available,n_expected,n_read,n_missing,n_oom,n_timeout,n_unknown_missing,n_sim_fail,n_fit_fail,n_pred_fail,n_gp_fail,n_k_fail,n_ci_fail,prop_oom,prop_timeout,prop_unknown_missing,prop_sim_fail,prop_fit_fail,prop_pred_fail,prop_gp_fail,prop_k_fail,prop_ci_fail,mean_time_total,mean_time_fit,max_time_total,max_time_fit,n_clusters,n_obs_per_cluster,subcase_label,prop_metric_missing,show_metric,method_label
2re,5,PACE,time,0.009584333333333606,0.009058958110442359,0.010109708556224853,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1806791666666667,0.009584333333333606,0.33481666666666665,0.014500000000000075,100,2,"d=100, n_i=2",0,TRUE,PACE
2re,5,bayesFPCA,RMISE,3.039764151237977,2.5442596657860013,3.4651226447786203,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9366603333333335,0.9039511666666665,3.6812166666666655,3.6454500000000016,100,2,"d=100, n_i=2",0,TRUE,bayesFPCA (oracle K)
2re,5,bayesFPCA,ci_width,2.2741478649122846,2.0378055082744315,2.5104902215501377,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9366603333333335,0.9039511666666665,3.6812166666666655,3.6454500000000016,100,2,"d=100, n_i=2",0,TRUE,bayesFPCA (oracle K)
2re,5,bayesFPCA,coverage,0.856863,0.8407246910697304,0.8730013089302697,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9366603333333335,0.9039511666666665,3.6812166666666655,3.6454500000000016,100,2,"d=100, n_i=2",0,TRUE,bayesFPCA (oracle K)
2re,5,bayesFPCA,rmw2,0.9193145278018408,0.713308426937845,1.0869542263198115,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9366603333333335,0.9039511666666665,3.6812166666666655,3.6454500000000016,100,2,"d=100, n_i=2",0,TRUE,bayesFPCA (oracle K)
2re,5,bayesFPCA,time,0.9039511666666665,0.7500455618835317,1.0578567714498015,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9366603333333335,0.9039511666666665,3.6812166666666655,3.6454500000000016,100,2,"d=100, n_i=2",0,TRUE,bayesFPCA (oracle K)
2re,9,AdaStruMM,RMISE,1.7840522507022092,1.700868410254365,1.8635266344944001,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.590626166666667,0.027300666666666504,1.62816666666666,0.05851666666665854,200,2,"d=200, n_i=2",0,TRUE,AdaStruMM
2re,9,AdaStruMM,ci_width,1.682843605831099,1.646021921232795,1.719665290429403,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.590626166666667,0.027300666666666504,1.62816666666666,0.05851666666665854,200,2,"d=200, n_i=2",0,TRUE,AdaStruMM
2re,9,AdaStruMM,coverage,0.9576765,0.9476914935434927,0.9676615064565074,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.590626166666667,0.027300666666666504,1.62816666666666,0.05851666666665854,200,2,"d=200, n_i=2",0,TRUE,AdaStruMM
2re,9,AdaStruMM,rmw2,0.3559222269151874,0.3139165432431701,0.393468762550207,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.590626166666667,0.027300666666666504,1.62816666666666,0.05851666666665854,200,2,"d=200, n_i=2",0,TRUE,AdaStruMM
