case,subcase_id,method,seed,n_successful_trials,median_time,max_time,allowed_time,process_id,run_order,run_id,original_process_id,original_run_order
sitar,24,HGAM-GS,37,5,9.9589,11.807116666666667,14.758895833333334,81,1,sitar__subcase-024__HGAM-GS__seed-37,98,6
sitar,24,HGAM-GS,53,5,9.9589,11.807116666666667,14.758895833333334,82,1,sitar__subcase-024__HGAM-GS__seed-53,98,7
sitar,24,HGAM-GS,63,5,9.9589,11.807116666666667,14.758895833333334,83,1,sitar__subcase-024__HGAM-GS__seed-63,98,8
sitar,24,HGAM-GS,76,5,9.9589,11.807116666666667,14.758895833333334,84,1,sitar__subcase-024__HGAM-GS__seed-76,98,9
sitar,24,HGAM-GS,84,5,9.9589,11.807116666666667,14.758895833333334,85,1,sitar__subcase-024__HGAM-GS__seed-84,98,10
sitar,24,HGAM-GS,89,5,9.9589,11.807116666666667,14.758895833333334,86,1,sitar__subcase-024__HGAM-GS__seed-89,98,11
sitar,24,HGAM-GS,90,5,9.9589,11.807116666666667,14.758895833333334,87,1,sitar__subcase-024__HGAM-GS__seed-90,98,12
sitar,24,HGAM-GS,91,5,9.9589,11.807116666666667,14.758895833333334,88,1,sitar__subcase-024__HGAM-GS__seed-91,98,13
sitar,24,HGAM-GS,92,5,9.9589,11.807116666666667,14.758895833333334,89,1,sitar__subcase-024__HGAM-GS__seed-92,98,14
sitar,24,HGAM-GS,98,5,9.9589,11.807116666666667,14.758895833333334,90,1,sitar__subcase-024__HGAM-GS__seed-98,98,15
sitar,24,HGAM-GS,99,5,9.9589,11.807116666666667,14.758895833333334,91,1,sitar__subcase-024__HGAM-GS__seed-99,98,16
sitar,10,HGAM-GS,10,5,2.2645166666666667,2.44995,3.0624374999999997,92,1,sitar__subcase-010__HGAM-GS__seed-10,98,17
sitar,7,HGAM-GS,94,5,0.37753333333333333,0.5759333333333333,0.7199166666666666,93,1,sitar__subcase-007__HGAM-GS__seed-94,98,18
sitar,24,HGAM-GS,8,5,9.9589,11.807116666666667,14.758895833333334,94,1,sitar__subcase-024__HGAM-GS__seed-8,100,3
sitar,24,HGAM-GS,17,5,9.9589,11.807116666666667,14.758895833333334,95,1,sitar__subcase-024__HGAM-GS__seed-17,100,4
sitar,24,HGAM-GS,19,5,9.9589,11.807116666666667,14.758895833333334,96,1,sitar__subcase-024__HGAM-GS__seed-19,100,5
sitar,24,HGAM-GS,22,5,9.9589,11.807116666666667,14.758895833333334,97,1,sitar__subcase-024__HGAM-GS__seed-22,100,6
sitar,24,HGAM-GS,23,5,9.9589,11.807116666666667,14.758895833333334,98,1,sitar__subcase-024__HGAM-GS__seed-23,100,7
sitar,24,HGAM-GS,27,5,9.9589,11.807116666666667,14.758895833333334,99,1,sitar__subcase-024__HGAM-GS__seed-27,100,8
sitar,24,HGAM-GS,28,5,9.9589,11.807116666666667,14.758895833333334,100,1,sitar__subcase-024__HGAM-GS__seed-28,100,9
sitar,24,HGAM-GS,30,5,9.9589,11.807116666666667,14.758895833333334,101,1,sitar__subcase-024__HGAM-GS__seed-30,100,10
sitar,24,HGAM-GS,32,5,9.9589,11.807116666666667,14.758895833333334,102,1,sitar__subcase-024__HGAM-GS__seed-32,100,11
sitar,24,HGAM-GS,47,5,9.9589,11.807116666666667,14.758895833333334,103,1,sitar__subcase-024__HGAM-GS__seed-47,100,12
sitar,24,HGAM-GS,51,5,9.9589,11.807116666666667,14.758895833333334,104,1,sitar__subcase-024__HGAM-GS__seed-51,100,13
sitar,24,HGAM-GS,52,5,9.9589,11.807116666666667,14.758895833333334,105,1,sitar__subcase-024__HGAM-GS__seed-52,100,14
sitar,24,HGAM-GS,67,5,9.9589,11.807116666666667,14.758895833333334,106,1,sitar__subcase-024__HGAM-GS__seed-67,100,15
sitar,24,HGAM-GS,82,5,9.9589,11.807116666666667,14.758895833333334,107,1,sitar__subcase-024__HGAM-GS__seed-82,100,16
sitar,10,HGAM-GS,4,5,2.2645166666666667,2.44995,3.0624374999999997,108,1,sitar__subcase-010__HGAM-GS__seed-4,100,17
sitar,7,HGAM-GS,44,5,0.37753333333333333,0.5759333333333333,0.7199166666666666,109,1,sitar__subcase-007__HGAM-GS__seed-44,100,18
sitar,24,HGAM-GS,97,5,9.9589,11.807116666666667,14.758895833333334,110,1,sitar__subcase-024__HGAM-GS__seed-97,101,16
sitar,10,HGAM-GS,73,5,2.2645166666666667,2.44995,3.0624374999999997,111,1,sitar__subcase-010__HGAM-GS__seed-73,101,17
sitar,7,HGAM-GS,37,5,0.37753333333333333,0.5759333333333333,0.7199166666666666,112,1,sitar__subcase-007__HGAM-GS__seed-37,101,18
sitar,23,HGAM-GS,31,5,9.744916666666667,11.557349999999998,14.446687499999998,113,1,sitar__subcase-023__HGAM-GS__seed-31,103,3
sitar,23,HGAM-GS,34,5,9.744916666666667,11.557349999999998,14.446687499999998,114,1,sitar__subcase-023__HGAM-GS__seed-34,103,4
sitar,23,HGAM-GS,40,5,9.744916666666667,11.557349999999998,14.446687499999998,115,1,sitar__subcase-023__HGAM-GS__seed-40,103,5
sitar,23,HGAM-GS,42,5,9.744916666666667,11.557349999999998,14.446687499999998,116,1,sitar__subcase-023__HGAM-GS__seed-42,103,6
sitar,23,HGAM-GS,43,5,9.744916666666667,11.557349999999998,14.446687499999998,117,1,sitar__subcase-023__HGAM-GS__seed-43,103,7
sitar,23,HGAM-GS,48,5,9.744916666666667,11.557349999999998,14.446687499999998,118,1,sitar__subcase-023__HGAM-GS__seed-48,103,8
sitar,23,HGAM-GS,50,5,9.744916666666667,11.557349999999998,14.446687499999998,119,1,sitar__subcase-023__HGAM-GS__seed-50,103,9
sitar,23,HGAM-GS,62,5,9.744916666666667,11.557349999999998,14.446687499999998,120,1,sitar__subcase-023__HGAM-GS__seed-62,103,10
sitar,23,HGAM-GS,77,5,9.744916666666667,11.557349999999998,14.446687499999998,121,1,sitar__subcase-023__HGAM-GS__seed-77,103,11
sitar,23,HGAM-GS,82,5,9.744916666666667,11.557349999999998,14.446687499999998,122,1,sitar__subcase-023__HGAM-GS__seed-82,103,12
sitar,23,HGAM-GS,85,5,9.744916666666667,11.557349999999998,14.446687499999998,123,1,sitar__subcase-023__HGAM-GS__seed-85,103,13
sitar,23,HGAM-GS,94,5,9.744916666666667,11.557349999999998,14.446687499999998,124,1,sitar__subcase-023__HGAM-GS__seed-94,103,14
sitar,23,HGAM-GS,95,5,9.744916666666667,11.557349999999998,14.446687499999998,125,1,sitar__subcase-023__HGAM-GS__seed-95,103,15
sitar,23,HGAM-GS,98,5,9.744916666666667,11.557349999999998,14.446687499999998,126,1,sitar__subcase-023__HGAM-GS__seed-98,103,16
sitar,15,HGAM-GS,32,5,3.182533333333333,3.5707999999999998,4.4635,127,1,sitar__subcase-015__HGAM-GS__seed-32,103,17
sitar,10,HGAM-GS,28,5,2.2645166666666667,2.44995,3.0624374999999997,128,1,sitar__subcase-010__HGAM-GS__seed-28,103,18
sitar,6,HGAM-GS,99,5,0.7250666666666666,0.7365999999999999,0.92075,129,1,sitar__subcase-006__HGAM-GS__seed-99,103,19
sitar,23,HGAM-GS,56,5,9.744916666666667,11.557349999999998,14.446687499999998,130,1,sitar__subcase-023__HGAM-GS__seed-56,104,10
sitar,23,HGAM-GS,57,5,9.744916666666667,11.557349999999998,14.446687499999998,131,1,sitar__subcase-023__HGAM-GS__seed-57,104,11
sitar,23,HGAM-GS,74,5,9.744916666666667,11.557349999999998,14.446687499999998,132,1,sitar__subcase-023__HGAM-GS__seed-74,104,12
sitar,23,HGAM-GS,76,5,9.744916666666667,11.557349999999998,14.446687499999998,133,1,sitar__subcase-023__HGAM-GS__seed-76,104,13
sitar,23,HGAM-GS,91,5,9.744916666666667,11.557349999999998,14.446687499999998,134,1,sitar__subcase-023__HGAM-GS__seed-91,104,14
