case,quantity,metric,n_obs_per_cluster,n_clusters,comparison_method,comparison_estimate,adastrumm_estimate,numerator,denominator,numerator_estimate,denominator_estimate,value,oracle_estimate
sitar,AdaStruMM CI coverage,coverage,2,300,NA,NA,0.9601323333333334,AdaStruMM coverage,NA,0.9601323333333334,NA,0.9601323333333334,NA
sitar,AdaStruMM CI coverage,coverage,2,400,NA,NA,0.9538865,AdaStruMM coverage,NA,0.9538865,NA,0.9538865,NA
sitar,AdaStruMM CI coverage,coverage,2,500,NA,NA,0.9598704,AdaStruMM coverage,NA,0.9598704,NA,0.9598704,NA
sitar,AdaStruMM CI coverage,coverage,3,50,NA,NA,0.964762,AdaStruMM coverage,NA,0.964762,NA,0.964762,NA
sitar,AdaStruMM CI coverage,coverage,3,100,NA,NA,0.967226,AdaStruMM coverage,NA,0.967226,NA,0.967226,NA
sitar,AdaStruMM CI coverage,coverage,3,200,NA,NA,0.9687635,AdaStruMM coverage,NA,0.9687635,NA,0.9687635,NA
sitar,AdaStruMM CI coverage,coverage,3,300,NA,NA,0.9768806666666666,AdaStruMM coverage,NA,0.9768806666666666,NA,0.9768806666666666,NA
sitar,AdaStruMM CI coverage,coverage,3,400,NA,NA,0.97458925,AdaStruMM coverage,NA,0.97458925,NA,0.97458925,NA
sitar,AdaStruMM CI coverage,coverage,3,500,NA,NA,0.9800676,AdaStruMM coverage,NA,0.9800676,NA,0.9800676,NA
sitar,AdaStruMM CI coverage,coverage,5,50,NA,NA,0.970128,AdaStruMM coverage,NA,0.970128,NA,0.970128,NA
sitar,AdaStruMM CI coverage,coverage,5,100,NA,NA,0.963351,AdaStruMM coverage,NA,0.963351,NA,0.963351,NA
sitar,AdaStruMM CI coverage,coverage,5,200,NA,NA,0.9637545,AdaStruMM coverage,NA,0.9637545,NA,0.9637545,NA
sitar,AdaStruMM CI coverage,coverage,5,300,NA,NA,0.9630586666666666,AdaStruMM coverage,NA,0.9630586666666666,NA,0.9630586666666666,NA
sitar,AdaStruMM CI coverage,coverage,5,400,NA,NA,0.96267525,AdaStruMM coverage,NA,0.96267525,NA,0.96267525,NA
sitar,AdaStruMM CI coverage,coverage,5,500,NA,NA,0.9632768,AdaStruMM coverage,NA,0.9632768,NA,0.9632768,NA
sitar,AdaStruMM CI coverage,coverage,10,50,NA,NA,0.950484,AdaStruMM coverage,NA,0.950484,NA,0.950484,NA
sitar,AdaStruMM CI coverage,coverage,10,100,NA,NA,0.948863,AdaStruMM coverage,NA,0.948863,NA,0.948863,NA
sitar,AdaStruMM CI coverage,coverage,10,200,NA,NA,0.9472795,AdaStruMM coverage,NA,0.9472795,NA,0.9472795,NA
sitar,AdaStruMM CI coverage,coverage,10,300,NA,NA,0.9474913333333334,AdaStruMM coverage,NA,0.9474913333333334,NA,0.9474913333333334,NA
sitar,AdaStruMM CI coverage,coverage,10,400,NA,NA,0.94706475,AdaStruMM coverage,NA,0.94706475,NA,0.94706475,NA
sitar,AdaStruMM CI coverage,coverage,10,500,NA,NA,0.9474406,AdaStruMM coverage,NA,0.9474406,NA,0.9474406,NA
