case,subcase_id,method,n_expected,n_read,n_missing,n_oom,n_timeout,n_unknown_missing,n_sim_fail,n_fit_fail,n_pred_fail,n_gp_fail,n_k_fail,n_ci_fail,prop_oom,prop_timeout,prop_unknown_missing,prop_sim_fail,prop_fit_fail,prop_pred_fail,prop_gp_fail,prop_k_fail,prop_ci_fail,mean_time_total,mean_time_fit,max_time_total,max_time_fit,n_clusters,n_obs_per_cluster,subcase_label
sitar,7,AdaStruMM,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1327221666666663,0.11481916666666678,1.3301,0.18361666666666376,100,5,"d=100, n_i=5"
sitar,7,FACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36653500000000033,0.03909800000000041,0.405000000000003,0.047716666666671397,100,5,"d=100, n_i=5"
sitar,7,HGAM-GS,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3368223333333326,0.05599416666666619,1.3158666666666667,0.34275000000000005,100,5,"d=100, n_i=5"
sitar,7,Local-GAM,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3521971666666669,0.05330033333333309,0.3933833333333344,0.07881666666666358,100,5,"d=100, n_i=5"
sitar,7,Oracle-SITAR,100,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,0,7.121728333333333,4.077214833333334,7.337283333333334,4.195599999999998,100,5,"d=100, n_i=5"
sitar,7,PACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3197080000000001,0.04819833333333357,0.3540333333333365,0.05046666666666321,100,5,"d=100, n_i=5"
sitar,7,SITAR,100,100,0,0,0,0,0,1,0,0,0,99,0,0,0,0,0.01,0,0,0,0.99,0.36005849999999995,0.1481431666666668,1.4363833333333331,1.2367000000000037,100,5,"d=100, n_i=5"
sitar,8,AdaStruMM,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2831740000000005,0.25786133333333283,1.4667666666666668,0.41221666666666956,100,10,"d=100, n_i=10"
sitar,8,FACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25343966666666695,0.027020666666666936,0.26448333333332813,0.031350000000005214,100,10,"d=100, n_i=10"
sitar,8,HGAM-GS,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40782616666666716,0.08865050000000033,1.408016666666667,0.5063499999999999,100,10,"d=100, n_i=10"
