case,quantity,metric,n_obs_per_cluster,n_clusters,comparison_method,comparison_estimate,adastrumm_estimate,numerator,denominator,numerator_estimate,denominator_estimate,value,oracle_estimate
3re,AdaStruMM CI coverage,coverage,5,400,NA,NA,0.94894825,AdaStruMM coverage,NA,0.94894825,NA,0.94894825,NA
3re,AdaStruMM CI coverage,coverage,5,500,NA,NA,0.9479376,AdaStruMM coverage,NA,0.9479376,NA,0.9479376,NA
3re,AdaStruMM CI coverage,coverage,10,50,NA,NA,0.952106,AdaStruMM coverage,NA,0.952106,NA,0.952106,NA
3re,AdaStruMM CI coverage,coverage,10,100,NA,NA,0.947862,AdaStruMM coverage,NA,0.947862,NA,0.947862,NA
3re,AdaStruMM CI coverage,coverage,10,200,NA,NA,0.9479255,AdaStruMM coverage,NA,0.9479255,NA,0.9479255,NA
3re,AdaStruMM CI coverage,coverage,10,300,NA,NA,0.9469503333333333,AdaStruMM coverage,NA,0.9469503333333333,NA,0.9469503333333333,NA
3re,AdaStruMM CI coverage,coverage,10,400,NA,NA,0.94791025,AdaStruMM coverage,NA,0.94791025,NA,0.94791025,NA
3re,AdaStruMM CI coverage,coverage,10,500,NA,NA,0.946059,AdaStruMM coverage,NA,0.946059,NA,0.946059,NA
3re,Narrowest general-purpose CI width / AdaStruMM CI width,ci_width,2,50,bayesFPCA,3.9272779391741275,3.626950018596938,minimum CI width among non-AdaStruMM general-purpose methods,AdaStruMM CI width,3.9272779391741275,3.626950018596938,1.082804537982955,NA
3re,Narrowest general-purpose CI width / AdaStruMM CI width,ci_width,2,100,bayesFPCA,3.80374733557029,3.846813275427618,minimum CI width among non-AdaStruMM general-purpose methods,AdaStruMM CI width,3.80374733557029,3.846813275427618,0.9888047750764454,NA
3re,Narrowest general-purpose CI width / AdaStruMM CI width,ci_width,2,200,bayesFPCA,3.670155636203145,3.5403314480839816,minimum CI width among non-AdaStruMM general-purpose methods,AdaStruMM CI width,3.670155636203145,3.5403314480839816,1.0366700660723234,NA
3re,Narrowest general-purpose CI width / AdaStruMM CI width,ci_width,2,300,bayesFPCA,3.781093856197605,3.3489065830865985,minimum CI width among non-AdaStruMM general-purpose methods,AdaStruMM CI width,3.781093856197605,3.3489065830865985,1.1290532483926952,NA
3re,Narrowest general-purpose CI width / AdaStruMM CI width,ci_width,2,400,bayesFPCA,3.6896793191190262,3.2521860374787375,minimum CI width among non-AdaStruMM general-purpose methods,AdaStruMM CI width,3.6896793191190262,3.2521860374787375,1.134522833748913,NA
3re,Narrowest general-purpose CI width / AdaStruMM CI width,ci_width,2,500,bayesFPCA,3.6181102354924697,3.116916491675377,minimum CI width among non-AdaStruMM general-purpose methods,AdaStruMM CI width,3.6181102354924697,3.116916491675377,1.1607979376912005,NA
3re,Narrowest general-purpose CI width / AdaStruMM CI width,ci_width,3,50,bayesFPCA,3.496571906105942,2.329339681123323,minimum CI width among non-AdaStruMM general-purpose methods,AdaStruMM CI width,3.496571906105942,2.329339681123323,1.5011000475549885,NA
3re,Narrowest general-purpose CI width / AdaStruMM CI width,ci_width,3,100,bayesFPCA,3.280261785387639,1.9862396514005891,minimum CI width among non-AdaStruMM general-purpose methods,AdaStruMM CI width,3.280261785387639,1.9862396514005891,1.651493455522638,NA
3re,Narrowest general-purpose CI width / AdaStruMM CI width,ci_width,3,200,bayesFPCA,3.622835470637473,1.782576665795231,minimum CI width among non-AdaStruMM general-purpose methods,AdaStruMM CI width,3.622835470637473,1.782576665795231,2.0323588545468128,NA
3re,Narrowest general-purpose CI width / AdaStruMM CI width,ci_width,3,300,bayesFPCA,3.463431376641562,1.6870937708940135,minimum CI width among non-AdaStruMM general-purpose methods,AdaStruMM CI width,3.463431376641562,1.6870937708940135,2.0528979695101617,NA
3re,Narrowest general-purpose CI width / AdaStruMM CI width,ci_width,3,400,bayesFPCA,3.3988565922074443,1.6087536412224583,minimum CI width among non-AdaStruMM general-purpose methods,AdaStruMM CI width,3.3988565922074443,1.6087536412224583,2.1127265885314324,NA
3re,Narrowest general-purpose CI width / AdaStruMM CI width,ci_width,3,500,bayesFPCA,3.068497193721732,1.576994922817033,minimum CI width among non-AdaStruMM general-purpose methods,AdaStruMM CI width,3.068497193721732,1.576994922817033,1.945787617527889,NA
3re,Narrowest general-purpose CI width / AdaStruMM CI width,ci_width,5,50,Local-GAM,1.23609055256195,0.7123044243177743,minimum CI width among non-AdaStruMM general-purpose methods,AdaStruMM CI width,1.23609055256195,0.7123044243177743,1.7353402707639276,NA
3re,Narrowest general-purpose CI width / AdaStruMM CI width,ci_width,5,100,Local-GAM,1.2442334067172487,0.6241899679658477,minimum CI width among non-AdaStruMM general-purpose methods,AdaStruMM CI width,1.2442334067172487,0.6241899679658477,1.9933569435151934,NA
3re,Narrowest general-purpose CI width / AdaStruMM CI width,ci_width,5,200,Local-GAM,1.2346723888354056,0.5534465355645907,minimum CI width among non-AdaStruMM general-purpose methods,AdaStruMM CI width,1.2346723888354056,0.5534465355645907,2.230879243965042,NA
3re,Narrowest general-purpose CI width / AdaStruMM CI width,ci_width,5,300,Local-GAM,1.2424633920497516,0.5410790208923828,minimum CI width among non-AdaStruMM general-purpose methods,AdaStruMM CI width,1.2424633920497516,0.5410790208923828,2.2962697574202746,NA
