case,subcase_id,method,metric,estimate,lower,upper,n_available,n_expected,n_read,n_missing,n_oom,n_timeout,n_unknown_missing,n_sim_fail,n_fit_fail,n_pred_fail,n_gp_fail,n_k_fail,n_ci_fail,prop_oom,prop_timeout,prop_unknown_missing,prop_sim_fail,prop_fit_fail,prop_pred_fail,prop_gp_fail,prop_k_fail,prop_ci_fail,mean_time_total,mean_time_fit,max_time_total,max_time_fit,n_clusters,n_obs_per_cluster,subcase_label,prop_metric_missing,show_metric,method_label,reference_type,reference_label
3re,21,Oracle-GP,coverage,0.9502684,0.9488753165638409,0.9516614834361591,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06700916666666666,1.316666666663006e-5,0.08116666666666675,1.6666666668167332e-5,500,2,"d=500, n_i=2",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,2,Oracle-GP,coverage,0.950802,0.9471916938911481,0.954412306108852,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024868000000000164,1.5166666666649084e-5,0.02858333333333197,3.3333333332545106e-5,50,3,"d=50, n_i=3",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,6,Oracle-GP,coverage,0.949732,0.9471187133806376,0.9523452866193625,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027003499999999937,1.4499999999941338e-5,0.035266666666666426,3.3333333332545106e-5,100,3,"d=100, n_i=3",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,10,Oracle-GP,coverage,0.9501515,0.948368795889743,0.9519342041102571,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04048400000000001,1.3666666666708238e-5,0.04381666666666698,1.6666666667219943e-5,200,3,"d=200, n_i=3",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,14,Oracle-GP,coverage,0.9501896666666667,0.9486635108196054,0.951715822513728,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05136583333333344,1.3166666666696378e-5,0.058283333333330724,1.6666666670062114e-5,300,3,"d=300, n_i=3",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,18,Oracle-GP,coverage,0.94998525,0.9486408193669449,0.9513296806330551,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05906733333333318,1.1833333333394573e-5,0.07993333333333794,1.6666666670062114e-5,400,3,"d=400, n_i=3",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,22,Oracle-GP,coverage,0.9509296,0.9496849789597912,0.9521742210402089,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06613300000000026,1.250000000008337e-5,0.07328333333333603,3.3333333332545106e-5,500,3,"d=500, n_i=3",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,3,Oracle-GP,coverage,0.94717,0.9433881887232819,0.950951811276718,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023959500000000047,1.5166666666724875e-5,0.028033333333333608,1.6666666670062114e-5,50,5,"d=50, n_i=5",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,7,Oracle-GP,coverage,0.949836,0.947386862369579,0.952285137630421,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027371499999999892,1.3333333333396998e-5,0.03394999999999679,3.3333333336334664e-5,100,5,"d=100, n_i=5",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,11,Oracle-GP,coverage,0.950258,0.9485581590027483,0.9519578409972518,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041299166666666526,1.4000000000275274e-5,0.06861666666666982,3.333333334012423e-5,200,5,"d=200, n_i=5",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,15,Oracle-GP,coverage,0.9501306666666667,0.9488463901898367,0.9514149431434966,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050690500000000305,1.3666666667480361e-5,0.06700000000000728,1.6666666670062114e-5,300,5,"d=300, n_i=5",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,19,Oracle-GP,coverage,0.95026475,0.9491351393862347,0.9513943606137653,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06066550000000033,1.2333333333250115e-5,0.07074999999999818,1.6666666670062114e-5,400,5,"d=400, n_i=5",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,23,Oracle-GP,coverage,0.9498686,0.9488081798753197,0.9509290201246802,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06728500000000005,1.616666666666126e-5,0.07980000000000018,2.666666666666669e-4,500,5,"d=500, n_i=5",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,4,Oracle-GP,coverage,0.949778,0.9461245505984146,0.9534314494015854,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02290599999999976,1.3333333333510685e-5,0.02541666666666439,1.6666666670062114e-5,50,10,"d=50, n_i=10",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,8,Oracle-GP,coverage,0.950341,0.9479623343000966,0.9527196656999034,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026216000000000045,1.2166666666625286e-5,0.029833333333332726,1.6666666670062114e-5,100,10,"d=100, n_i=10",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,12,Oracle-GP,coverage,0.951066,0.9495470934498906,0.9525849065501093,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04054516666666666,1.5333333333502026e-5,0.055,2.8333333333335395e-4,200,10,"d=200, n_i=10",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,16,Oracle-GP,coverage,0.9502726666666667,0.9488579315707438,0.9516874017625895,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05001533333333358,1.2333333333610123e-5,0.06283333333333303,1.6666666670062114e-5,300,10,"d=300, n_i=10",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,20,Oracle-GP,coverage,0.95092825,0.9497822808846248,0.9520742191153753,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061357999999999566,1.266666666629135e-5,0.09408333333333303,1.6666666670062114e-5,400,10,"d=400, n_i=10",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,24,Oracle-GP,coverage,0.9502464,0.9494136628825046,0.9510791371174955,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06637416666666543,1.2333333333420645e-5,0.07438333333334413,1.6666666670062114e-5,500,10,"d=500, n_i=10",0,TRUE,Individual oracle bound,individual_oracle,Individual oracle bound
3re,1,Population-oracle,rmw2,0.582729194196727,0.5257599987393488,0.6346046416974379,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,2,"d=50, n_i=2",0,TRUE,Population oracle bound,population_oracle,Population oracle bound
3re,5,Population-oracle,rmw2,0.43238933886520325,0.38413721940401147,0.4757727161125673,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,2,"d=100, n_i=2",0,TRUE,Population oracle bound,population_oracle,Population oracle bound
3re,9,Population-oracle,rmw2,0.26345606386821613,0.23523323685353906,0.2889351474938173,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,2,"d=200, n_i=2",0,TRUE,Population oracle bound,population_oracle,Population oracle bound
