case,subcase_id,n_clusters,n_obs_per_cluster,method,n_expected,n_read,n_missing,n_oom,n_timeout,n_unknown_missing,n_sim_fail,n_fit_fail,n_pred_fail,n_gp_fail,n_k_fail,n_ci_fail,prop_oom,prop_timeout,prop_unknown_missing,prop_sim_fail,prop_fit_fail,prop_pred_fail,prop_gp_fail,prop_k_fail,prop_ci_fail,mean_time_total,mean_time_fit,max_time_total,max_time_fit
sitar,8,100,10,Oracle-SITAR,5,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,7.504546666666666,4.389093333333333,7.567566666666666,4.425383333333333
sitar,8,100,10,PACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8427133333333333,0.38167666666666666,0.8654666666666667,0.3881666666666667
sitar,8,100,10,SITAR,5,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0.40519,0.026656666666666655,0.41824999999999996,0.02901666666666666
sitar,9,200,2,AdaStruMM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8873766666666667,0.07508,2.1838166666666665,0.09401666666666664
sitar,9,200,2,FACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49974,0.06496999999999997,0.5693166666666667,0.07978333333333332
sitar,9,200,2,HGAM-GS,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7065700000000001,1.31142,2.0849166666666665,1.6636
sitar,9,200,2,Oracle-SITAR,5,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,15.442433333333335,9.545796666666668,15.549283333333335,9.714050000000002
sitar,9,200,2,PACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9310633333333335,0.024056666666666674,2.273416666666667,0.04083333333333338
sitar,9,200,2,SITAR,5,5,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0.6,0,0,0,0.4,0.9245766666666667,0.4550766666666667,1.7062666666666668,1.2258833333333332
sitar,10,200,3,AdaStruMM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0775966666666665,0.11978000000000007,2.1237166666666667,0.17158333333333337
sitar,10,200,3,FACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65492,0.08792333333333334,0.6692,0.09408333333333338
sitar,10,200,3,HGAM-GS,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1514800000000003,1.6549433333333332,2.44995,1.9846666666666666
sitar,10,200,3,Local-GAM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54722666666666675,0.20007333333333333,0.6032000000000001,0.24316666666666667
sitar,10,200,3,Oracle-SITAR,5,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,15.259603333333333,8.43471,15.464033333333333,9.149700000000001
sitar,10,200,3,PACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7108833333333333,0.05054000000000002,0.7345666666666666,0.056233333333333316
sitar,10,200,3,SITAR,5,5,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0.6,0,0,0,0.4,0.82421,0.43968666666666667,1.4620166666666667,1.0304833333333334
sitar,11,200,5,AdaStruMM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04734,0.27040000000000003,2.1024833333333333,0.2912
sitar,11,200,5,FACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49949333333333334,0.07612666666666666,0.7361,0.13659999999999997
sitar,11,200,5,HGAM-GS,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2967366666666666,0.8586533333333334,1.4927,1.1018166666666667
sitar,11,200,5,Local-GAM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5686,0.08182333333333332,0.5711666666666666,0.08508333333333327
sitar,11,200,5,Oracle-SITAR,5,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,17.8643,11.46044,20.020616666666665,13.9217
sitar,11,200,5,PACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7877633333333334,0.15913666666666668,0.8503666666666667,0.16818333333333335
sitar,11,200,5,SITAR,5,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0.6039933333333334,0.20126333333333338,0.8197333333333334,0.4454833333333334
sitar,12,200,10,AdaStruMM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4793633333333336,0.5544533333333334,2.7690833333333336,0.6078
sitar,12,200,10,FACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7071200000000001,0.12107333333333332,0.79989999999999994,0.17535
sitar,12,200,10,HGAM-GS,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3341233333333333,0.8565633333333333,1.46545,0.9802833333333335
sitar,12,200,10,Local-GAM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5128533333333334,0.09843666666666664,0.5547166666666666,0.11904999999999995
sitar,12,200,10,Oracle-SITAR,5,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,15.77117,8.550723333333334,17.827883333333332,8.784699999999999
sitar,12,200,10,PACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9950233333333334,1.3274000000000001,2.0317666666666665,1.3578666666666666
sitar,12,200,10,SITAR,5,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0.4429066666666667,0.06285666666666666,0.5286833333333334,0.11631666666666671
sitar,13,300,2,AdaStruMM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.82046,0.14930000000000002,2.8721000000000005,0.19419999999999996
sitar,13,300,2,FACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6585333333333333,0.13223000000000001,0.79989999999999994,0.17678333333333332
sitar,13,300,2,HGAM-GS,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.964933333333334,6.33515,7.919899999999999,7.339650000000001
sitar,13,300,2,Oracle-SITAR,5,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,24.10538,15.737546666666667,25.378666666666668,17.136833333333335
sitar,13,300,2,PACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0057966666666667,0.04433000000000002,1.073683333333333,0.04793333333333329
sitar,13,300,2,SITAR,5,5,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0.4,0,0,0,0.6,1.0980400000000001,0.7999866666666667,1.5071666666666668,1.1874166666666668
sitar,14,300,3,AdaStruMM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78773,0.21964666666666668,3.02935,0.28745000000000004
sitar,14,300,3,FACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5378933333333333,0.10219333333333333,0.6165166666666668,0.12000000000000005
sitar,14,300,3,HGAM-GS,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.52259,5.909306666666667,7.4773000000000005,6.863166666666666
sitar,14,300,3,Local-GAM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6499533333333334,0.29283000000000003,0.6981,0.34598333333333336
sitar,14,300,3,Oracle-SITAR,5,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,22.633793333333333,14.089253333333334,22.803316666666667,14.281133333333335
sitar,14,300,3,PACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7502300000000002,0.11207999999999994,4.246766666666667,0.2054666666666666
sitar,14,300,3,SITAR,5,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,2.909473333333333,2.4282500000000002,4.4979,4.016016666666667
sitar,15,300,5,AdaStruMM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2900833333333335,0.4758666666666667,3.427333333333334,0.5936333333333333
sitar,15,300,5,FACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8861066666666666,0.21002333333333334,1.0966999999999998,0.3480333333333333
sitar,15,300,5,HGAM-GS,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2170233333333336,2.4625133333333333,3.5707999999999998,2.9208333333333334
sitar,15,300,5,Local-GAM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6199766666666666,0.17579333333333336,0.7532166666666666,0.2969833333333334
